preview,band,annotation_count,source_image,manual_visible_count,missing_labels,false_labels,notes
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\00_sparse_7.jpg,sparse,7,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\2_second_train.v4i.coco\train\pipe_r_7_jpeg_jpg.rf.0e7ed9ffbbab48d6041518d9ba26b4fe.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\01_sparse_3.jpg,sparse,3,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\2_second_train.v4i.coco\train\istockphoto-1369300055-612x612_jpg.rf.ca9c3aab0439e86300dfe0798c635243.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\02_sparse_3.jpg,sparse,3,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\2_second_train.v4i.coco\train\istockphoto-1332087064-612x612_jpg.rf.14790c1c40c17fed5316b1f646df9b07.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\03_typical_73.jpg,typical,73,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\628_jpg.rf.19db7deaa627f6f4ae643654f7f68a38.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\04_typical_71.jpg,typical,71,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\762_jpg.rf.d308393ff6943535affcb826054dd698.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\05_typical_66.jpg,typical,66,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\1_firts_train.v2-v2.coco\train\IMG-20200508-WA0019_jpg.rf.c5e4427bcdab8b153e090336303adf30.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\06_dense_456.jpg,dense,456,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\valid\429_jpg.rf.20f7def44bb213016224ab3cac01248e.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\07_dense_492.jpg,dense,492,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\42_jpg.rf.246a4bb60fdbde37baae83c681acbb1d.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\08_dense_454.jpg,dense,454,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\217_jpg.rf.a4c8d04444886df3a61bd82dcaa6d265.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\09_extreme_1523.jpg,extreme,1523,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\k-24-_jpg.rf.fd17bb23a0e52cc6965b6622c9c0f7fb.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\10_extreme_1523.jpg,extreme,1523,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\1_firts_train.v2-v2.coco\train\k-24-_jpg.rf.fed99001760d2daf948e98bc35a8fdec.jpg,,,,
C:\Users\172634\projects\Pipe Counter New\pipe-center-counter-poc\data\audit\previews\11_extreme_1456.jpg,extreme,1456,C:\Users\172634\projects\Pipe Counter New\pipe-datasets\1_firts_train.v2-v2.coco\test\k-28-_jpg.rf.9065135e6a9628549f846cf606c49d86.jpg,,,,
