preview,band,annotation_count,source_image,manual_visible_count,missing_labels,false_labels,notes
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\00_sparse_1.jpg,sparse,1,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\2_second_train.v4i.coco\train\35_jpg.rf.8c94a6cace39a6f76acb9f2a1abc0452.jpg,1,0,0,"AI visual review of preview: one visible near pipe end. This is a dataset spot check, not human-confirmed field ground truth."
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\01_sparse_1.jpg,sparse,1,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\pipes_pipes_337_1__1_png.rf.62c62440c2dbdfc95efd3486f4eb7c9f.jpg,0,0,1,AI visual review: dot is on the side of a connected pipe in a trench; no open pipe end visible. Proposed exclusion/relabel for the visible-pipe-end target; requires human confirmation.
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\02_sparse_7.jpg,sparse,7,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\3_third_train.v3i.coco\train\IMG_20220712_103740_jpg.rf.7d29d49ae23edf9f4f3f05ca24c94ed5.jpg,7,0,0,"AI visual review: seven visible pipe ends, one dot each. Strong pasted/warped rectangular artifacts surround ends. Not representative of an unedited camera photograph."
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\03_typical_80.jpg,typical,80,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\istockphoto-1316130427-612x612_jpg.rf.cc43421b1eb002a5bd25533ed68d445f.jpg,,,,"AI visual review: four-panel collage, artificial colors and black cutout. Count not independently verified. Collage components may need source-photo grouping beyond filename matching."
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\04_typical_68.jpg,typical,68,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\2_second_train.v4i.coco\train\gray-pvc-tubes-plastic-pipes-stacked-rows-21390859_jpg.rf.a1fff737f951816ab479cc0a4430f36f.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\05_typical_78.jpg,typical,78,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\google_54_jpg.rf.b0b02cdebdea6a4bda867b56a1fcec08.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\06_dense_396.jpg,dense,396,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\power-19222035_jpg.rf.ab7a6789aa010dac26b7fb644ca310bb.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\07_dense_439.jpg,dense,439,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\img19_jpg.rf.84dabd01726c10471834b0d0ac1bbacf.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\08_dense_384.jpg,dense,384,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\454_jpg.rf.4fbaba6bfa0730d7e0e858b78f52e122.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\09_extreme_1523.jpg,extreme,1523,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\4-train.v4i.coco\train\k-24-_jpg.rf.fd17bb23a0e52cc6965b6622c9c0f7fb.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\10_extreme_1523.jpg,extreme,1523,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\1_firts_train.v2-v2.coco\train\k-24-_jpg.rf.fed99001760d2daf948e98bc35a8fdec.jpg,,,,
C:\Users\Owner\Projects\Pipe Counter New\pipe-center-counter-poc\data\audit_v2\previews\11_extreme_1456.jpg,extreme,1456,C:\Users\Owner\Projects\Pipe Counter New\pipe-datasets\1_firts_train.v2-v2.coco\test\k-28-_jpg.rf.9065135e6a9628549f846cf606c49d86.jpg,,,,
