Detector CUDA experiment: train=10650 val=1332 size=640
Epoch 1/8 batch 1/5325 loss=2.17304 elapsed=11.0s
Epoch 1/8 batch 100/5325 loss=1.35717 elapsed=20.1s
Epoch 1/8 batch 200/5325 loss=1.23574 elapsed=29.2s
Epoch 1/8 batch 300/5325 loss=1.20755 elapsed=37.5s
Epoch 1/8 batch 400/5325 loss=1.18864 elapsed=46.1s
Epoch 1/8 batch 500/5325 loss=1.18842 elapsed=54.9s
Epoch 1/8 batch 600/5325 loss=1.17837 elapsed=63.7s
Epoch 1/8 batch 700/5325 loss=1.16193 elapsed=72.2s
Epoch 1/8 batch 800/5325 loss=1.13907 elapsed=80.7s
Epoch 1/8 batch 900/5325 loss=1.12371 elapsed=89.2s
Epoch 1/8 batch 1000/5325 loss=1.11236 elapsed=97.5s
Epoch 1/8 batch 1100/5325 loss=1.10231 elapsed=106.1s
Epoch 1/8 batch 1200/5325 loss=1.09417 elapsed=114.6s
Epoch 1/8 batch 1300/5325 loss=1.08941 elapsed=123.2s
Epoch 1/8 batch 1400/5325 loss=1.08061 elapsed=131.7s
Epoch 1/8 batch 1500/5325 loss=1.08167 elapsed=140.3s
Epoch 1/8 batch 1600/5325 loss=1.07704 elapsed=149.1s
Epoch 1/8 batch 1700/5325 loss=1.07102 elapsed=157.7s
Epoch 1/8 batch 1800/5325 loss=1.06318 elapsed=166.2s
Epoch 1/8 batch 1900/5325 loss=1.06016 elapsed=174.9s
Epoch 1/8 batch 2000/5325 loss=1.05847 elapsed=183.7s
Epoch 1/8 batch 2100/5325 loss=1.05631 elapsed=192.4s
Epoch 1/8 batch 2200/5325 loss=1.04992 elapsed=200.9s
Epoch 1/8 batch 2300/5325 loss=1.04250 elapsed=209.3s
Epoch 1/8 batch 2400/5325 loss=1.04107 elapsed=217.9s
Epoch 1/8 batch 2500/5325 loss=1.04067 elapsed=226.5s
Epoch 1/8 batch 2600/5325 loss=1.03850 elapsed=235.4s
Epoch 1/8 batch 2700/5325 loss=1.03395 elapsed=243.9s
Epoch 1/8 batch 2800/5325 loss=1.03177 elapsed=252.5s
Epoch 1/8 batch 2900/5325 loss=1.03095 elapsed=261.0s
Epoch 1/8 batch 3000/5325 loss=1.03525 elapsed=269.7s
Epoch 1/8 batch 3100/5325 loss=1.03046 elapsed=278.1s
Epoch 1/8 batch 3200/5325 loss=1.02536 elapsed=286.6s
Epoch 1/8 batch 3300/5325 loss=1.02435 elapsed=295.0s
Epoch 1/8 batch 3400/5325 loss=1.02378 elapsed=303.7s
Epoch 1/8 batch 3500/5325 loss=1.02152 elapsed=312.3s
Epoch 1/8 batch 3600/5325 loss=1.01629 elapsed=320.6s
Epoch 1/8 batch 3700/5325 loss=1.01314 elapsed=329.1s
Epoch 1/8 batch 3800/5325 loss=1.01170 elapsed=337.8s
Epoch 1/8 batch 3900/5325 loss=1.00947 elapsed=346.3s
Epoch 1/8 batch 4000/5325 loss=1.00716 elapsed=355.0s
Epoch 1/8 batch 4100/5325 loss=1.00715 elapsed=363.7s
Epoch 1/8 batch 4200/5325 loss=1.00569 elapsed=372.3s
Epoch 1/8 batch 4300/5325 loss=1.00354 elapsed=380.8s
Epoch 1/8 batch 4400/5325 loss=1.00196 elapsed=389.3s
Epoch 1/8 batch 4500/5325 loss=0.99991 elapsed=398.0s
Epoch 1/8 batch 4600/5325 loss=1.00012 elapsed=406.8s
Epoch 1/8 batch 4700/5325 loss=0.99775 elapsed=415.4s
Epoch 1/8 batch 4800/5325 loss=0.99683 elapsed=424.0s
Epoch 1/8 batch 4900/5325 loss=0.99539 elapsed=432.7s
Epoch 1/8 batch 5000/5325 loss=0.99262 elapsed=441.1s
Epoch 1/8 batch 5100/5325 loss=0.99109 elapsed=449.5s
Epoch 1/8 batch 5200/5325 loss=0.98740 elapsed=458.1s
Epoch 1/8 batch 5300/5325 loss=0.98505 elapsed=466.6s
{"epoch": 1, "train_loss": 0.9846084178966675, "images": 1332, "threshold": 0.8849999999999997, "exact_count_accuracy": 0.2057057057057057, "within_one_accuracy": 0.31681681681681684, "mean_absolute_error": 88.4572072072072, "root_mean_squared_error": 181.2152855852114, "mean_signed_error": -86.82357357357357, "total_true": 206171, "total_predicted": 90522, "seconds": 540.0302708999989}
Epoch 2/8 batch 1/5325 loss=1.39376 elapsed=11.1s
Epoch 2/8 batch 100/5325 loss=0.84987 elapsed=19.4s
Epoch 2/8 batch 200/5325 loss=0.85285 elapsed=28.1s
Epoch 2/8 batch 300/5325 loss=0.90830 elapsed=36.7s
Epoch 2/8 batch 400/5325 loss=0.90054 elapsed=45.3s
Epoch 2/8 batch 500/5325 loss=0.90709 elapsed=54.0s
Epoch 2/8 batch 600/5325 loss=0.90985 elapsed=62.6s
