Detector CUDA experiment: train=10650 val=1332 size=640
Epoch 1/8 batch 1/5325 loss=0.17999 elapsed=11.0s
Epoch 1/8 batch 100/5325 loss=0.57913 elapsed=19.6s
Epoch 1/8 batch 200/5325 loss=0.59040 elapsed=28.4s
Epoch 1/8 batch 300/5325 loss=0.59948 elapsed=36.7s
Epoch 1/8 batch 400/5325 loss=0.61276 elapsed=45.2s
Epoch 1/8 batch 500/5325 loss=0.63355 elapsed=53.6s
Epoch 1/8 batch 600/5325 loss=0.64117 elapsed=62.0s
Epoch 1/8 batch 700/5325 loss=0.64182 elapsed=70.1s
Epoch 1/8 batch 800/5325 loss=0.63254 elapsed=78.2s
Epoch 1/8 batch 900/5325 loss=0.63139 elapsed=86.5s
Epoch 1/8 batch 1000/5325 loss=0.62994 elapsed=94.4s
Epoch 1/8 batch 1100/5325 loss=0.62877 elapsed=102.6s
Epoch 1/8 batch 1200/5325 loss=0.62718 elapsed=110.7s
Epoch 1/8 batch 1300/5325 loss=0.63088 elapsed=119.0s
Epoch 1/8 batch 1400/5325 loss=0.62932 elapsed=127.2s
Epoch 1/8 batch 1500/5325 loss=0.63574 elapsed=135.5s
Epoch 1/8 batch 1600/5325 loss=0.63553 elapsed=144.1s
Epoch 1/8 batch 1700/5325 loss=0.63501 elapsed=152.8s
Epoch 1/8 batch 1800/5325 loss=0.63281 elapsed=161.3s
Epoch 1/8 batch 1900/5325 loss=0.63361 elapsed=169.9s
Epoch 1/8 batch 2000/5325 loss=0.63595 elapsed=178.7s
Epoch 1/8 batch 2100/5325 loss=0.63674 elapsed=187.3s
Epoch 1/8 batch 2200/5325 loss=0.63418 elapsed=195.7s
Epoch 1/8 batch 2300/5325 loss=0.63166 elapsed=204.0s
Epoch 1/8 batch 2400/5325 loss=0.63320 elapsed=212.5s
Epoch 1/8 batch 2500/5325 loss=0.63507 elapsed=221.0s
Epoch 1/8 batch 2600/5325 loss=0.63606 elapsed=229.8s
Epoch 1/8 batch 2700/5325 loss=0.63404 elapsed=238.2s
Epoch 1/8 batch 2800/5325 loss=0.63463 elapsed=246.8s
Epoch 1/8 batch 2900/5325 loss=0.63513 elapsed=255.1s
Epoch 1/8 batch 3000/5325 loss=0.64041 elapsed=263.7s
Epoch 1/8 batch 3100/5325 loss=0.63860 elapsed=272.0s
Epoch 1/8 batch 3200/5325 loss=0.63679 elapsed=280.4s
Epoch 1/8 batch 3300/5325 loss=0.63793 elapsed=288.9s
Epoch 1/8 batch 3400/5325 loss=0.63856 elapsed=297.6s
Epoch 1/8 batch 3500/5325 loss=0.63907 elapsed=306.2s
Epoch 1/8 batch 3600/5325 loss=0.63703 elapsed=314.4s
Epoch 1/8 batch 3700/5325 loss=0.63594 elapsed=323.0s
Epoch 1/8 batch 3800/5325 loss=0.63701 elapsed=331.5s
Epoch 1/8 batch 3900/5325 loss=0.63625 elapsed=339.9s
Epoch 1/8 batch 4000/5325 loss=0.63551 elapsed=348.4s
Epoch 1/8 batch 4100/5325 loss=0.63605 elapsed=357.1s
Epoch 1/8 batch 4200/5325 loss=0.63671 elapsed=365.7s
Epoch 1/8 batch 4300/5325 loss=0.63616 elapsed=374.2s
Epoch 1/8 batch 4400/5325 loss=0.63611 elapsed=382.7s
Epoch 1/8 batch 4500/5325 loss=0.63588 elapsed=391.4s
Epoch 1/8 batch 4600/5325 loss=0.63624 elapsed=400.0s
Epoch 1/8 batch 4700/5325 loss=0.63522 elapsed=408.5s
Epoch 1/8 batch 4800/5325 loss=0.63590 elapsed=416.9s
Epoch 1/8 batch 4900/5325 loss=0.63594 elapsed=425.6s
Epoch 1/8 batch 5000/5325 loss=0.63433 elapsed=433.9s
Epoch 1/8 batch 5100/5325 loss=0.63381 elapsed=442.3s
Epoch 1/8 batch 5200/5325 loss=0.63145 elapsed=450.9s
Epoch 1/8 batch 5300/5325 loss=0.63087 elapsed=459.4s
{"epoch": 1, "train_loss": 0.6307848224818199, "images": 1332, "threshold": 0.8599999999999997, "exact_count_accuracy": 0.28603603603603606, "within_one_accuracy": 0.4196696696696697, "mean_absolute_error": 51.31531531531532, "root_mean_squared_error": 119.35582857076488, "mean_signed_error": -49.872372372372375, "total_true": 206171, "total_predicted": 139741, "seconds": 531.1041643999997}
Epoch 2/8 batch 1/5325 loss=1.26025 elapsed=11.0s
