Detector CUDA experiment: train=10650 val=1332 size=960
Epoch 1/6 batch 1/5325 loss=0.22352 elapsed=15.4s
Epoch 1/6 batch 100/5325 loss=0.70765 elapsed=25.7s
Epoch 1/6 batch 200/5325 loss=0.70066 elapsed=36.3s
Epoch 1/6 batch 300/5325 loss=0.70892 elapsed=46.5s
Epoch 1/6 batch 400/5325 loss=0.72082 elapsed=56.2s
Epoch 1/6 batch 500/5325 loss=0.74060 elapsed=66.1s
Epoch 1/6 batch 600/5325 loss=0.74426 elapsed=79.5s
Epoch 1/6 batch 700/5325 loss=0.74337 elapsed=89.0s
Epoch 1/6 batch 800/5325 loss=0.73200 elapsed=98.7s
Epoch 1/6 batch 900/5325 loss=0.72751 elapsed=108.4s
Epoch 1/6 batch 1000/5325 loss=0.72408 elapsed=117.7s
Epoch 1/6 batch 1100/5325 loss=0.72011 elapsed=130.5s
Epoch 1/6 batch 1200/5325 loss=0.71734 elapsed=140.0s
Epoch 1/6 batch 1300/5325 loss=0.71884 elapsed=149.9s
Epoch 1/6 batch 1400/5325 loss=0.71647 elapsed=159.7s
Epoch 1/6 batch 1500/5325 loss=0.72255 elapsed=172.2s
Epoch 1/6 batch 1600/5325 loss=0.72179 elapsed=184.6s
Epoch 1/6 batch 1700/5325 loss=0.72001 elapsed=200.9s
Epoch 1/6 batch 1800/5325 loss=0.71683 elapsed=213.3s
Epoch 1/6 batch 1900/5325 loss=0.71762 elapsed=232.8s
Epoch 1/6 batch 2000/5325 loss=0.71907 elapsed=245.7s
Epoch 1/6 batch 2100/5325 loss=0.71893 elapsed=258.2s
Epoch 1/6 batch 2200/5325 loss=0.71542 elapsed=270.4s
Epoch 1/6 batch 2300/5325 loss=0.71193 elapsed=282.5s
Epoch 1/6 batch 2400/5325 loss=0.71254 elapsed=294.8s
Epoch 1/6 batch 2500/5325 loss=0.71392 elapsed=307.5s
Epoch 1/6 batch 2600/5325 loss=0.71431 elapsed=320.3s
Epoch 1/6 batch 2700/5325 loss=0.71177 elapsed=332.5s
Epoch 1/6 batch 2800/5325 loss=0.71156 elapsed=344.9s
